crop_file,true_label,pred_label,logits,softmax,goodness
00037470.npy,1,1,"[-0.10373788326978683, 0.09092416614294052]","[0.45148760080337524, 0.5485124588012695]",0.5485124588012695
00035173.npy,0,1,"[-0.1962292492389679, 0.23984217643737793]","[0.3926774561405182, 0.6073225140571594]",0.6073225140571594
00040426.npy,1,0,"[-0.0025226883590221405, -0.18173104524612427]","[0.5446825623512268, 0.4553174078464508]",0.4553174078464508
00023493.npy,0,1,"[-0.3670520782470703, 0.13720647990703583]","[0.3765404224395752, 0.6234596371650696]",0.6234596371650696
00021725.npy,1,1,"[-0.06582767516374588, 0.1575259417295456]","[0.444392591714859, 0.5556074380874634]",0.5556074380874634
00065167.npy,0,1,"[-0.23103654384613037, 0.3871663808822632]","[0.35019025206565857, 0.649809718132019]",0.649809718132019
00058622.npy,0,1,"[-0.523794949054718, 0.34003329277038574]","[0.29654011130332947, 0.7034598588943481]",0.7034598588943481
00055829.npy,1,0,"[-0.3406371474266052, -0.555851936340332]","[0.5535969734191895, 0.44640302658081055]",0.44640302658081055
00001917.npy,1,1,"[-0.41069984436035156, 0.2794356644153595]","[0.33400294184684753, 0.6659970879554749]",0.6659970879554749
00052735.npy,1,1,"[-0.35219061374664307, -0.042945459485054016]","[0.42329898476600647, 0.5767009854316711]",0.5767009854316711
00055314.npy,1,1,"[-0.27618542313575745, 0.1898808777332306]","[0.3855477273464203, 0.6144522428512573]",0.6144522428512573
00031726.npy,1,1,"[-0.24302469193935394, 0.27236175537109375]","[0.3739316463470459, 0.6260682940483093]",0.6260682940483093
00055893.npy,1,1,"[-0.4190669059753418, 0.2269745171070099]","[0.34388214349746704, 0.6561177968978882]",0.6561177968978882
00023950.npy,0,1,"[-0.26967960596084595, 0.0599144771695137]","[0.41833940148353577, 0.5816606283187866]",0.5816606283187866
00037875.npy,1,1,"[-0.3198758363723755, 0.4058632552623749]","[0.3261304497718811, 0.6738695502281189]",0.6738695502281189
00021794.npy,0,1,"[-0.2935137152671814, 0.4187179207801819]","[0.3291059136390686, 0.6708940863609314]",0.6708940863609314
00052167.npy,1,1,"[-0.18243472278118134, 0.2963302433490753]","[0.3825438320636749, 0.6174561977386475]",0.6174561977386475
00036636.npy,1,1,"[-0.23602989315986633, 0.3345223367214203]","[0.3611094057559967, 0.6388906240463257]",0.6388906240463257
00007638.npy,0,1,"[-0.4346962571144104, 0.24777914583683014]","[0.3357090651988983, 0.6642909646034241]",0.6642909646034241
00040259.npy,1,1,"[-0.06692556291818619, 0.09616386145353317]","[0.45931777358055115, 0.5406822562217712]",0.5406822562217712
00018888.npy,0,0,"[-0.1447230726480484, -0.3173674941062927]","[0.5430541634559631, 0.4569457769393921]",0.4569457769393921
00057590.npy,1,1,"[-0.09019428491592407, 0.4351869821548462]","[0.37159478664398193, 0.6284052729606628]",0.6284052729606628
00034525.npy,0,1,"[-0.3265843987464905, 0.09718582034111023]","[0.3956149220466614, 0.6043850779533386]",0.6043850779533386
00036468.npy,1,1,"[-0.2693377733230591, 0.1974346935749054]","[0.38538044691085815, 0.6146195530891418]",0.6146195530891418
00052738.npy,1,1,"[-0.05688706040382385, 0.4752148985862732]","[0.37002676725387573, 0.6299732327461243]",0.6299732327461243
00059736.npy,0,1,"[-0.08962219953536987, 0.4478062093257904]","[0.3687860071659088, 0.6312140226364136]",0.6312140226364136
00055155.npy,0,1,"[-0.2214842587709427, 0.6286646127700806]","[0.2994016408920288, 0.7005983591079712]",0.7005983591079712
00059690.npy,0,1,"[-0.17903092503547668, 0.21882671117782593]","[0.4018271863460541, 0.5981727838516235]",0.5981727838516235
00004935.npy,1,1,"[-0.12544628977775574, 0.263797402381897]","[0.40389934182167053, 0.5961006283760071]",0.5961006283760071
00024041.npy,0,1,"[-0.17420783638954163, 0.2349448949098587]","[0.39911529421806335, 0.600884735584259]",0.600884735584259
00005769.npy,1,1,"[-0.16696494817733765, -0.12766900658607483]","[0.49017730355262756, 0.5098227262496948]",0.5098227262496948
00032272.npy,0,1,"[-0.34574687480926514, 0.16943272948265076]","[0.3739800751209259, 0.6260198950767517]",0.6260198950767517
00035427.npy,1,1,"[-0.28413113951683044, -0.07514399290084839]","[0.4479425847530365, 0.5520574450492859]",0.5520574450492859
00061799.npy,1,1,"[-0.551013708114624, -0.04992346465587616]","[0.3772844970226288, 0.6227154731750488]",0.6227154731750488
00008944.npy,0,1,"[-0.07745114713907242, 0.20550671219825745]","[0.42972877621650696, 0.5702712535858154]",0.5702712535858154
00059588.npy,1,1,"[-0.2002243548631668, 0.45298629999160767]","[0.34226641058921814, 0.6577336192131042]",0.6577336192131042
