crop_file,true_label,pred_label,logits,softmax,goodness
00032823.npy,1,1,"[0.1392560750246048, 0.7241299152374268]","[0.3578118681907654, 0.6421881318092346]",0.6421881318092346
00023187.npy,0,1,"[-0.08792576193809509, 0.18959571421146393]","[0.4310615360736847, 0.5689384937286377]",0.5689384937286377
00055689.npy,1,1,"[-0.2647884786128998, 0.1980465054512024]","[0.3863134980201721, 0.6136864423751831]",0.6136864423751831
00009009.npy,1,1,"[-0.050508059561252594, 0.1712929606437683]","[0.4447759985923767, 0.5552240610122681]",0.5552240610122681
00020133.npy,0,1,"[-0.21820001304149628, 0.06213753670454025]","[0.4303710162639618, 0.5696289539337158]",0.5696289539337158
00018771.npy,0,1,"[0.125981405377388, 0.39122211933135986]","[0.43407586216926575, 0.5659241080284119]",0.5659241080284119
00008190.npy,0,1,"[-0.2167130708694458, 0.215118870139122]","[0.39368897676467896, 0.606311023235321]",0.606311023235321
00003668.npy,0,1,"[0.1680298000574112, 0.5536101460456848]","[0.404781699180603, 0.595218300819397]",0.595218300819397
00039615.npy,1,1,"[0.08277158439159393, 0.30797722935676575]","[0.4439353346824646, 0.5560646653175354]",0.5560646653175354
00033797.npy,1,1,"[-0.024052392691373825, 0.2975606620311737]","[0.42028266191482544, 0.5797172784805298]",0.5797172784805298
00033882.npy,1,1,"[-0.1654774248600006, 0.20587091147899628]","[0.4082152843475342, 0.5917847752571106]",0.5917847752571106
00066667.npy,1,1,"[-0.18535250425338745, 0.033575281500816345]","[0.44548559188842773, 0.5545143485069275]",0.5545143485069275
00063024.npy,1,1,"[0.12880365550518036, 0.44281941652297974]","[0.4221348464488983, 0.5778651833534241]",0.5778651833534241
00040573.npy,1,1,"[0.027671631425619125, 0.4133812487125397]","[0.4047505557537079, 0.5952494144439697]",0.5952494144439697
00031369.npy,0,1,"[-0.272271066904068, 0.21907195448875427]","[0.3795772194862366, 0.6204227209091187]",0.6204227209091187
00041363.npy,1,1,"[0.26109543442726135, 0.5875616073608398]","[0.41910070180892944, 0.5808992981910706]",0.5808992981910706
00023939.npy,0,1,"[0.03268880769610405, 0.035211965441703796]","[0.49936920404434204, 0.500630795955658]",0.500630795955658
00035416.npy,1,1,"[-0.33732905983924866, 0.1361389458179474]","[0.38379573822021484, 0.6162042617797852]",0.6162042617797852
00062313.npy,1,1,"[-0.012129489332437515, 0.4789418876171112]","[0.37964123487472534, 0.6203587651252747]",0.6203587651252747
00033845.npy,1,1,"[-0.29075950384140015, -0.0641980767250061]","[0.44360068440437317, 0.5563993453979492]",0.5563993453979492
00009983.npy,1,1,"[-0.22129002213478088, 0.289145827293396]","[0.3750913739204407, 0.6249085664749146]",0.6249085664749146
00061200.npy,1,1,"[-0.0457613542675972, 0.2704298496246338]","[0.4216042757034302, 0.5783957242965698]",0.5783957242965698
00018690.npy,1,1,"[-0.7971088886260986, -0.04923334717750549]","[0.32128438353538513, 0.6787155866622925]",0.6787155866622925
00010922.npy,1,1,"[-0.3732508420944214, 0.1231531873345375]","[0.37838611006736755, 0.6216139197349548]",0.6216139197349548
00052725.npy,0,1,"[-0.24133314192295074, 0.12123112380504608]","[0.41033896803855896, 0.5896610617637634]",0.5896610617637634
00023429.npy,1,1,"[-0.1989109218120575, 0.32421445846557617]","[0.3721216917037964, 0.6278782486915588]",0.6278782486915588
00036276.npy,1,1,"[0.03016527369618416, 0.19572480022907257]","[0.4587043821811676, 0.54129558801651]",0.54129558801651
00032380.npy,0,1,"[0.1524902731180191, 0.580717921257019]","[0.3945496380329132, 0.6054503321647644]",0.6054503321647644
00038454.npy,1,1,"[-0.11918152868747711, 0.13977138698101044]","[0.43562111258506775, 0.5643788576126099]",0.5643788576126099
00001414.npy,1,1,"[0.10105282068252563, 0.5530660152435303]","[0.38888221979141235, 0.6111177802085876]",0.6111177802085876
00020181.npy,0,1,"[-0.004007481038570404, 0.28825843334198]","[0.42744922637939453, 0.5725507736206055]",0.5725507736206055
00002052.npy,1,1,"[0.4911004900932312, 0.6338684558868408]","[0.4643684923648834, 0.5356314778327942]",0.5356314778327942
00055374.npy,1,1,"[0.14824868738651276, 0.528180718421936]","[0.40614327788352966, 0.593856692314148]",0.593856692314148
00041495.npy,1,1,"[0.048229385167360306, 0.4480449855327606]","[0.40135663747787476, 0.5986433625221252]",0.5986433625221252
00036355.npy,0,1,"[-0.16283930838108063, 0.24658796191215515]","[0.39904946088790894, 0.6009505391120911]",0.6009505391120911
00020985.npy,0,1,"[-0.0933702290058136, 0.384181946516037]","[0.38283032178878784, 0.6171696782112122]",0.6171696782112122
00003540.npy,0,1,"[-0.3316214084625244, 0.19377878308296204]","[0.37159037590026855, 0.6284096837043762]",0.6284096837043762
00032276.npy,0,1,"[-0.49866172671318054, 0.08187888562679291]","[0.3588081896305084, 0.6411917805671692]",0.6411917805671692
00062976.npy,1,1,"[0.08184264600276947, 0.5902734994888306]","[0.3755614459514618, 0.6244385838508606]",0.6244385838508606
00040250.npy,1,1,"[-0.09907756000757217, 0.2377655953168869]","[0.4165765047073364, 0.5834234952926636]",0.5834234952926636
00062235.npy,1,1,"[0.06863871216773987, 0.4293034076690674]","[0.41079866886138916, 0.5892013311386108]",0.5892013311386108
00018804.npy,0,1,"[-0.2921169400215149, 0.2486465722322464]","[0.368010014295578, 0.6319900155067444]",0.6319900155067444
00036306.npy,1,1,"[0.058302488178014755, 0.167191281914711]","[0.4728046953678131, 0.5271953344345093]",0.5271953344345093
00008069.npy,1,1,"[0.08626261353492737, 0.5346225500106812]","[0.38975080847740173, 0.6102492213249207]",0.6102492213249207
00006095.npy,1,1,"[-0.09680836647748947, 0.43636441230773926]","[0.3697771728038788, 0.6302227973937988]",0.6302227973937988
00032448.npy,1,1,"[-0.1885472685098648, 0.2547616958618164]","[0.39095279574394226, 0.6090471744537354]",0.6090471744537354
00033743.npy,1,1,"[0.23041276633739471, 0.4700143337249756]","[0.44038456678390503, 0.5596154928207397]",0.5596154928207397
00009772.npy,0,1,"[0.1272418349981308, 0.3883129358291626]","[0.43510040640830994, 0.5648995637893677]",0.5648995637893677
00007774.npy,1,1,"[-0.1351480633020401, 0.1887989640235901]","[0.41971415281295776, 0.580285906791687]",0.580285906791687
00056632.npy,1,1,"[0.045113932341337204, 0.21896767616271973]","[0.4566456973552704, 0.5433542728424072]",0.5433542728424072
00003009.npy,1,1,"[-0.12527784705162048, 0.5167065858840942]","[0.34479811787605286, 0.6552019119262695]",0.6552019119262695
00067262.npy,1,1,"[-0.20287559926509857, 0.35497981309890747]","[0.36404383182525635, 0.6359561681747437]",0.6359561681747437
00064844.npy,1,1,"[-0.006294656544923782, 0.14796710014343262]","[0.46151086688041687, 0.5384891629219055]",0.5384891629219055
00064232.npy,0,1,"[0.08562588691711426, 0.46455392241477966]","[0.4063854515552521, 0.5936145186424255]",0.5936145186424255
00000903.npy,0,1,"[0.173854261636734, 0.3432876765727997]","[0.45774272084236145, 0.5422573089599609]",0.5422573089599609
00067039.npy,1,1,"[0.12813860177993774, 0.26355230808258057]","[0.466198205947876, 0.533801794052124]",0.533801794052124
00008188.npy,1,1,"[-0.06583023071289062, 0.5140553712844849]","[0.358958899974823, 0.641041100025177]",0.641041100025177
