crop_file,true_label,pred_label,logits,softmax,goodness
00001333.npy,1,1,"[-0.20455707609653473, 0.093126080930233]","[0.4261239767074585, 0.5738760828971863]",0.5738760828971863
00036518.npy,1,1,"[-0.07244879007339478, -0.02989134192466736]","[0.48936226963996887, 0.5106377601623535]",0.5106377601623535
00066515.npy,1,1,"[0.12422437965869904, 0.5692561864852905]","[0.3905426561832428, 0.6094573736190796]",0.6094573736190796
00018579.npy,1,1,"[-0.08543138206005096, 0.3845432996749878]","[0.3846222162246704, 0.6153777241706848]",0.6153777241706848
00001905.npy,1,1,"[-0.15483634173870087, 0.10845275223255157]","[0.43455538153648376, 0.5654446482658386]",0.5654446482658386
00007138.npy,1,1,"[-0.07969656586647034, 0.18571655452251434]","[0.43403351306915283, 0.5659664869308472]",0.5659664869308472
00034330.npy,1,1,"[-0.0381915420293808, 0.02895144745707512]","[0.48322057723999023, 0.5167794823646545]",0.5167794823646545
00062006.npy,1,1,"[-0.13874150812625885, 0.3673509359359741]","[0.3761099874973297, 0.6238900423049927]",0.6238900423049927
00004435.npy,1,1,"[0.06553114950656891, 0.2756616473197937]","[0.44765985012054443, 0.5523402094841003]",0.5523402094841003
00018200.npy,1,1,"[-0.1332423835992813, 0.20707526803016663]","[0.41573232412338257, 0.5842676758766174]",0.5842676758766174
00035213.npy,0,1,"[0.006900802254676819, 0.38380730152130127]","[0.4068732261657715, 0.5931268334388733]",0.5931268334388733
00062755.npy,1,1,"[-0.13017454743385315, 0.16147203743457794]","[0.42760080099105835, 0.5723991990089417]",0.5723991990089417
00066334.npy,1,1,"[0.05138604715466499, 0.3531683087348938]","[0.42512187361717224, 0.5748781561851501]",0.5748781561851501
00037508.npy,1,1,"[-0.21088023483753204, 0.33625978231430054]","[0.366528183221817, 0.6334717869758606]",0.6334717869758606
00057571.npy,1,1,"[-0.07710649073123932, 0.23532475531101227]","[0.4225214123725891, 0.5774785876274109]",0.5774785876274109
00030938.npy,1,1,"[-0.203103706240654, 0.11058015376329422]","[0.4222157895565033, 0.5777841806411743]",0.5777841806411743
00066546.npy,0,1,"[0.032017700374126434, 0.5314047932624817]","[0.37768471240997314, 0.6223152279853821]",0.6223152279853821
00031934.npy,0,1,"[-0.2676619291305542, -0.008880369365215302]","[0.43566325306892395, 0.5643367171287537]",0.5643367171287537
00067207.npy,1,1,"[-0.2094857543706894, -0.0160575732588768]","[0.4517931640148163, 0.5482068061828613]",0.5482068061828613
00039335.npy,1,1,"[-0.08796849846839905, -0.04974310100078583]","[0.4904448091983795, 0.5095551609992981]",0.5095551609992981
00039990.npy,0,1,"[-0.1323510855436325, 0.21326734125614166]","[0.41444534063339233, 0.5855546593666077]",0.5855546593666077
00010671.npy,0,1,"[-0.03418742120265961, -0.005652986466884613]","[0.4928668737411499, 0.5071331262588501]",0.5071331262588501
00007257.npy,1,1,"[-0.10062570869922638, 0.053618527948856354]","[0.4615152180194855, 0.5384847521781921]",0.5384847521781921
00064239.npy,0,1,"[-0.03370756655931473, 0.3883707523345947]","[0.39601951837539673, 0.6039804816246033]",0.6039804816246033
00036200.npy,1,1,"[-0.06455005705356598, 0.0800526961684227]","[0.4639121890068054, 0.5360878109931946]",0.5360878109931946
00065232.npy,0,1,"[-0.016119152307510376, 0.1014828085899353]","[0.4706333577632904, 0.529366672039032]",0.529366672039032
00007014.npy,1,1,"[-0.149024099111557, 0.24496333301067352]","[0.40275779366493225, 0.5972421765327454]",0.5972421765327454
00035206.npy,1,1,"[-0.09700638055801392, 0.4044106602668762]","[0.3772077262401581, 0.6227922439575195]",0.6227922439575195
00004624.npy,1,1,"[-0.07115557789802551, 0.3548455238342285]","[0.39508163928985596, 0.604918360710144]",0.604918360710144
00037743.npy,1,1,"[-0.022441431879997253, 0.19122684001922607]","[0.44678524136543274, 0.5532147884368896]",0.5532147884368896
00010017.npy,1,1,"[-0.12637640535831451, 0.31907057762145996]","[0.3904438316822052, 0.6095561385154724]",0.6095561385154724
00010305.npy,1,1,"[0.03857966512441635, 0.21613584458827972]","[0.455727219581604, 0.544272780418396]",0.544272780418396
00001650.npy,0,1,"[-0.39665865898132324, -0.07505203783512115]","[0.420284241437912, 0.5797157287597656]",0.5797157287597656
00041674.npy,1,1,"[0.033102624118328094, 0.2447626292705536]","[0.4472816586494446, 0.5527182817459106]",0.5527182817459106
00020561.npy,0,1,"[-0.1472044587135315, 0.029838619753718376]","[0.45585447549819946, 0.5441455245018005]",0.5441455245018005
00005087.npy,1,1,"[0.051931850612163544, 0.4119717478752136]","[0.4109498858451843, 0.5890500545501709]",0.5890500545501709
00056459.npy,0,1,"[-0.07044968008995056, 0.06395929306745529]","[0.46644824743270874, 0.5335517525672913]",0.5335517525672913
