crop_file,true_label,pred_label,logits,softmax,goodness
00013599.npy,1,1,"[-0.20908482372760773, -0.17036783695220947]","[0.49032196402549744, 0.5096780061721802]",0.5096780061721802
00062801.npy,1,0,"[0.2844344675540924, 0.02673705667257309]","[0.5640701651573181, 0.4359297752380371]",0.4359297752380371
00021562.npy,0,0,"[-0.23187394440174103, -0.4773077666759491]","[0.5610522627830505, 0.4389476776123047]",0.4389476776123047
00043102.npy,1,0,"[0.03623880445957184, -0.1842779517173767]","[0.5549068450927734, 0.44509315490722656]",0.44509315490722656
00058110.npy,0,0,"[0.004072442650794983, -0.5233584046363831]","[0.6288837194442749, 0.3711163103580475]",0.3711163103580475
00056491.npy,0,0,"[0.34709811210632324, 0.07807513326406479]","[0.5668530464172363, 0.43314698338508606]",0.43314698338508606
00051997.npy,0,1,"[0.020490624010562897, 0.038010746240615845]","[0.49562010169029236, 0.50437992811203]",0.50437992811203
00058305.npy,0,0,"[0.3665822446346283, -0.01881895214319229]","[0.5951751470565796, 0.4048248529434204]",0.4048248529434204
00010408.npy,0,0,"[0.2685873210430145, 0.09295623004436493]","[0.5437952280044556, 0.45620474219322205]",0.45620474219322205
00067653.npy,1,0,"[0.023117125034332275, 0.011699266731739044]","[0.5028544068336487, 0.49714556336402893]",0.49714556336402893
00056672.npy,0,0,"[-0.11456333100795746, -0.5812214612960815]","[0.614592432975769, 0.3854075074195862]",0.3854075074195862
00031655.npy,1,0,"[0.366360068321228, 0.07517100870609283]","[0.5722872614860535, 0.4277127981185913]",0.4277127981185913
00042433.npy,1,0,"[-0.07346497476100922, -0.45983466506004333]","[0.5954084992408752, 0.40459153056144714]",0.40459153056144714
00056899.npy,0,0,"[0.31684303283691406, -0.18146052956581116]","[0.6220605373382568, 0.3779394328594208]",0.3779394328594208
00055958.npy,0,0,"[0.3350086808204651, 0.02429845929145813]","[0.5770586133003235, 0.4229413866996765]",0.4229413866996765
00066891.npy,1,0,"[0.4530733823776245, -0.12785497307777405]","[0.6412809491157532, 0.35871902108192444]",0.35871902108192444
00011073.npy,1,0,"[0.019722022116184235, -0.26495125889778137]","[0.5706915855407715, 0.4293084740638733]",0.4293084740638733
00061840.npy,1,0,"[0.04195769876241684, -0.22561779618263245]","[0.5664975643157959, 0.4335024058818817]",0.4335024058818817
00036585.npy,0,0,"[0.099594846367836, -0.033626772463321686]","[0.5332562327384949, 0.4667437970638275]",0.4667437970638275
00021653.npy,0,0,"[0.44038766622543335, -0.029772408306598663]","[0.6154216527938843, 0.3845783770084381]",0.3845783770084381
00009702.npy,1,0,"[-0.13072748482227325, -0.21700263023376465]","[0.5215554237365723, 0.47844457626342773]",0.47844457626342773
00022460.npy,0,0,"[-0.09862123429775238, -0.6201629638671875]","[0.6275082230567932, 0.3724918067455292]",0.3724918067455292
00063607.npy,1,0,"[0.1609393209218979, -0.07314322143793106]","[0.5582548975944519, 0.4417451322078705]",0.4417451322078705
00025412.npy,0,0,"[0.24468816816806793, -0.17011874914169312]","[0.6022399067878723, 0.3977600634098053]",0.3977600634098053
00024665.npy,0,0,"[0.09038688987493515, -0.15438765287399292]","[0.5608898997306824, 0.43911004066467285]",0.43911004066467285
00044023.npy,1,0,"[-0.09112252295017242, -0.09382470697164536]","[0.5006755590438843, 0.4993244409561157]",0.4993244409561157
