crop_file,true_label,pred_label,logits,softmax,goodness
00010056.npy,0,1,"[-0.49007317423820496, -0.08180111646652222]","[0.39932650327682495, 0.600673496723175]",0.600673496723175
00020292.npy,0,1,"[-0.295041561126709, 0.18304939568042755]","[0.3827030658721924, 0.6172969937324524]",0.6172969937324524
00051342.npy,0,1,"[0.0034115538001060486, 0.17956188321113586]","[0.4560759663581848, 0.54392409324646]",0.54392409324646
00004327.npy,1,1,"[-0.4103551208972931, -0.01157379150390625]","[0.40160518884658813, 0.5983948111534119]",0.5983948111534119
00030700.npy,1,1,"[-0.3284832537174225, -0.07312837243080139]","[0.43650591373443604, 0.563494086265564]",0.563494086265564
00008896.npy,0,1,"[-0.46576595306396484, -0.22629757225513458]","[0.4404173791408539, 0.5595826506614685]",0.5595826506614685
00017888.npy,0,1,"[-0.1551980972290039, -0.06398870050907135]","[0.47721344232559204, 0.522786557674408]",0.522786557674408
00010868.npy,1,1,"[-0.49884042143821716, -0.09216329455375671]","[0.39970913529396057, 0.600290834903717]",0.600290834903717
00003364.npy,1,1,"[-0.4399436116218567, 0.04378625750541687]","[0.38137176632881165, 0.618628203868866]",0.618628203868866
00004269.npy,1,1,"[-0.4016868770122528, -0.04096896946430206]","[0.4107857942581177, 0.5892142057418823]",0.5892142057418823
00010922.npy,1,1,"[-0.6283348798751831, -0.23667483031749725]","[0.40331771969795227, 0.5966822504997253]",0.5966822504997253
00064366.npy,0,1,"[-0.6051724553108215, -0.24559767544269562]","[0.41106247901916504, 0.588937520980835]",0.588937520980835
00036040.npy,1,1,"[-0.8802146315574646, -0.2648565173149109]","[0.35083791613578796, 0.6491620540618896]",0.6491620540618896
00060181.npy,1,1,"[-0.3560396432876587, -0.0501708984375]","[0.4241234362125397, 0.5758765339851379]",0.5758765339851379
00036804.npy,1,0,"[-0.04816056042909622, -0.0736602395772934]","[0.5063745975494385, 0.4936254024505615]",0.4936254024505615
00041247.npy,1,1,"[-0.45785942673683167, -0.018193796277046204]","[0.39182063937187195, 0.6081793308258057]",0.6081793308258057
00040366.npy,1,1,"[-0.33527490496635437, -0.03168004751205444]","[0.42467889189720154, 0.5753210783004761]",0.5753210783004761
00032431.npy,1,1,"[-0.08672817051410675, 0.10671193897724152]","[0.4517902135848999, 0.5482098460197449]",0.5482098460197449
00007231.npy,1,1,"[-0.5719574689865112, -0.06763501465320587]","[0.3765254020690918, 0.6234745979309082]",0.6234745979309082
00010061.npy,0,1,"[-0.5407823324203491, -0.16639186441898346]","[0.40748053789138794, 0.5925194025039673]",0.5925194025039673
00030698.npy,1,1,"[-0.8934250473976135, -0.43784981966018677]","[0.3880360424518585, 0.6119639873504639]",0.6119639873504639
00010784.npy,1,1,"[-0.29264703392982483, 0.17539075016975403]","[0.3850807845592499, 0.6149191856384277]",0.6149191856384277
00002589.npy,1,1,"[-1.0452333688735962, -0.5174083113670349]","[0.37102431058883667, 0.6289756894111633]",0.6289756894111633
00022201.npy,0,1,"[-0.5308043956756592, 0.09117214381694794]","[0.3493320643901825, 0.6506679654121399]",0.6506679654121399
00035032.npy,0,1,"[-0.5083521604537964, -0.057420745491981506]","[0.389139324426651, 0.6108606457710266]",0.6108606457710266
00005775.npy,1,1,"[0.028240106999874115, 0.07909415662288666]","[0.4872892200946808, 0.5127107501029968]",0.5127107501029968
00038702.npy,1,1,"[-0.4921059012413025, 0.016776293516159058]","[0.3754556179046631, 0.6245443820953369]",0.6245443820953369
00021501.npy,0,1,"[-0.2620141804218292, 0.11039446294307709]","[0.40795913338661194, 0.5920408368110657]",0.5920408368110657
00003593.npy,1,1,"[-0.008600814267992973, 0.301220178604126]","[0.4231584370136261, 0.5768415927886963]",0.5768415927886963
00019705.npy,0,1,"[-1.0541499853134155, -0.4510745406150818]","[0.3536404073238373, 0.6463596224784851]",0.6463596224784851
00006239.npy,0,1,"[-0.2556759715080261, -0.007272839546203613]","[0.43821656703948975, 0.5617833733558655]",0.5617833733558655
00061251.npy,1,1,"[-0.30929386615753174, -0.08064882457256317]","[0.4430864751338959, 0.5569135546684265]",0.5569135546684265
00001004.npy,1,1,"[-0.6501940488815308, -0.21000374853610992]","[0.39169561862945557, 0.6083043813705444]",0.6083043813705444
00018610.npy,1,1,"[-0.3235023319721222, -0.07137462496757507]","[0.4372998774051666, 0.5627001523971558]",0.5627001523971558
00006452.npy,1,1,"[-0.29415270686149597, 0.03306817263364792]","[0.4189169704914093, 0.5810829997062683]",0.5810829997062683
00003523.npy,0,1,"[-0.12194700539112091, 0.08813272416591644]","[0.44767236709594727, 0.552327573299408]",0.552327573299408
