crop_file,true_label,pred_label,logits,softmax,goodness
00010140.npy,1,1,"[-0.9071455001831055, 0.025963257998228073]","[0.28229445219039917, 0.7177055478096008]",0.7177055478096008
00006388.npy,0,1,"[-0.3568124771118164, 0.5622701644897461]","[0.2851448655128479, 0.7148551344871521]",0.7148551344871521
00009892.npy,1,1,"[-0.657717227935791, 0.36603468656539917]","[0.264297217130661, 0.7357027530670166]",0.7357027530670166
00060534.npy,0,1,"[-0.4866389036178589, -0.014882609248161316]","[0.3842006325721741, 0.6157993674278259]",0.6157993674278259
00036068.npy,1,0,"[0.08364652097225189, -0.07057657837867737]","[0.5384795665740967, 0.4615204632282257]",0.4615204632282257
00068494.npy,1,1,"[-0.1267324984073639, 0.12945224344730377]","[0.4363018274307251, 0.5636981725692749]",0.5636981725692749
00041562.npy,0,1,"[-0.18032318353652954, -0.11005644500255585]","[0.4824405312538147, 0.5175594687461853]",0.5175594687461853
00060099.npy,1,1,"[-0.17133747041225433, 0.15341728925704956]","[0.4195173978805542, 0.580482542514801]",0.580482542514801
00059338.npy,0,1,"[-0.6042829155921936, 0.17170307040214539]","[0.31518563628196716, 0.6848143339157104]",0.6848143339157104
00069071.npy,1,1,"[-0.45228683948516846, -0.37133508920669556]","[0.4797731041908264, 0.5202268958091736]",0.5202268958091736
00000901.npy,0,1,"[-0.13065274059772491, 0.4392493963241577]","[0.361259400844574, 0.6387405395507812]",0.6387405395507812
00060330.npy,0,1,"[-0.541175365447998, 0.0449221096932888]","[0.35753077268600464, 0.6424692273139954]",0.6424692273139954
00014108.npy,0,1,"[-0.06545249372720718, 0.13687966763973236]","[0.4495888352394104, 0.5504112243652344]",0.5504112243652344
00058481.npy,1,1,"[-0.3048604130744934, 0.22066155076026917]","[0.3715619444847107, 0.6284381151199341]",0.6284381151199341
00040962.npy,1,1,"[-0.4538429379463196, 0.26380181312561035]","[0.3279118239879608, 0.6720881462097168]",0.6720881462097168
00012745.npy,1,1,"[-0.2922459840774536, -0.01737983524799347]","[0.4317128658294678, 0.5682871341705322]",0.5682871341705322
00067591.npy,1,1,"[-0.4049784541130066, 0.013397209346294403]","[0.39690548181533813, 0.6030945181846619]",0.6030945181846619
00044114.npy,1,1,"[-0.36463358998298645, -0.011716432869434357]","[0.4126752018928528, 0.587324857711792]",0.587324857711792
00021891.npy,0,1,"[-0.4563349485397339, 0.3453056216239929]","[0.3096747100353241, 0.6903253197669983]",0.6903253197669983
00005257.npy,1,1,"[-0.7471382021903992, -0.0964982807636261]","[0.3428453505039215, 0.6571546196937561]",0.6571546196937561
00058739.npy,1,1,"[-0.7087375521659851, -0.3837551474571228]","[0.4194619655609131, 0.5805379748344421]",0.5805379748344421
00005217.npy,1,1,"[-0.7943820357322693, -0.3056560754776001]","[0.3801937699317932, 0.6198062896728516]",0.6198062896728516
00024524.npy,1,1,"[-0.2927342653274536, 0.02020261436700821]","[0.42239803075790405, 0.577601969242096]",0.577601969242096
00063794.npy,1,1,"[-0.6227677464485168, 0.001394122838973999]","[0.3488354980945587, 0.6511645317077637]",0.6511645317077637
00018060.npy,0,1,"[0.10134841501712799, 0.14050182700157166]","[0.49021288752555847, 0.5097870826721191]",0.5097870826721191
00039788.npy,1,1,"[-0.1927887499332428, 0.23077817261219025]","[0.3956635296344757, 0.6043364405632019]",0.6043364405632019
00001120.npy,1,1,"[-0.25733572244644165, 0.015964068472385406]","[0.4320971667766571, 0.5679028034210205]",0.5679028034210205
00060595.npy,0,1,"[-0.46426546573638916, 0.023189354687929153]","[0.38049331307411194, 0.6195066571235657]",0.6195066571235657
00055688.npy,1,1,"[-0.24838000535964966, 0.21967007219791412]","[0.38507789373397827, 0.6149221658706665]",0.6149221658706665
00055221.npy,0,0,"[-0.059609875082969666, -0.06509630382061005]","[0.5013716220855713, 0.4986284077167511]",0.4986284077167511
00067734.npy,1,1,"[-0.16491800546646118, 0.2783237099647522]","[0.39096876978874207, 0.6090312004089355]",0.6090312004089355
00044524.npy,1,0,"[0.00030653178691864014, -0.13659772276878357]","[0.5341727137565613, 0.4658272862434387]",0.4658272862434387
00032628.npy,1,1,"[-0.24309897422790527, 0.09053535759449005]","[0.41735661029815674, 0.5826433897018433]",0.5826433897018433
00044184.npy,1,1,"[-0.15029872953891754, 0.2870274782180786]","[0.3923782706260681, 0.6076217293739319]",0.6076217293739319
00064540.npy,0,1,"[-0.4809443950653076, 0.08468076586723328]","[0.36224693059921265, 0.6377530694007874]",0.6377530694007874
00010253.npy,1,1,"[0.2736457586288452, 0.510669469833374]","[0.4410199522972107, 0.5589800477027893]",0.5589800477027893
00041836.npy,1,0,"[0.3969385027885437, -0.14914005994796753]","[0.6332253217697144, 0.36677467823028564]",0.36677467823028564
00063952.npy,1,1,"[-0.07300969958305359, 0.2859112024307251]","[0.41122081875801086, 0.5887792110443115]",0.5887792110443115
00035066.npy,1,1,"[-0.5078034996986389, 0.05121854320168495]","[0.36377376317977905, 0.636226236820221]",0.636226236820221
00026663.npy,1,1,"[-0.4463231563568115, -0.19216187298297882]","[0.4367995262145996, 0.5632004737854004]",0.5632004737854004
00065117.npy,1,1,"[-0.37757158279418945, -0.10364353656768799]","[0.43194302916526794, 0.5680569410324097]",0.5680569410324097
00013925.npy,1,1,"[-0.03541937470436096, 0.11278507113456726]","[0.463016539812088, 0.5369834303855896]",0.5369834303855896
00024319.npy,0,1,"[-0.08412282168865204, 0.26596134901046753]","[0.4133620262145996, 0.5866379737854004]",0.5866379737854004
00059744.npy,0,1,"[-0.28543299436569214, 0.2456447184085846]","[0.37026557326316833, 0.629734456539154]",0.629734456539154
00026231.npy,0,1,"[-0.4664188623428345, -0.16997040808200836]","[0.42642590403556824, 0.5735740661621094]",0.5735740661621094
00063730.npy,1,1,"[-0.49557745456695557, 0.18294674158096313]","[0.3365907669067383, 0.6634092330932617]",0.6634092330932617
00033316.npy,1,1,"[0.21508823335170746, 0.2151903659105301]","[0.49997445940971375, 0.5000255107879639]",0.5000255107879639
00008108.npy,1,1,"[-0.276508092880249, 0.2494010478258133]","[0.3714715242385864, 0.6285285353660583]",0.6285285353660583
00010992.npy,0,1,"[-0.11003722995519638, -0.023037612438201904]","[0.47826382517814636, 0.521736204624176]",0.521736204624176
00006655.npy,0,1,"[-0.40896040201187134, 0.499491810798645]","[0.2873166799545288, 0.7126833200454712]",0.7126833200454712
00055490.npy,1,1,"[-0.25113239884376526, 0.060415636748075485]","[0.4227369427680969, 0.5772630572319031]",0.5772630572319031
00043146.npy,1,1,"[-0.16973863542079926, 0.3481270670890808]","[0.37335142493247986, 0.6266485452651978]",0.6266485452651978
00004916.npy,1,1,"[-0.3911164402961731, 0.04235982894897461]","[0.3932965397834778, 0.6067034006118774]",0.6067034006118774
00008554.npy,1,1,"[-0.09960632771253586, 0.11301058530807495]","[0.44704511761665344, 0.5529548525810242]",0.5529548525810242
00055840.npy,1,1,"[-0.6982839107513428, 0.14761467278003693]","[0.3002939522266388, 0.6997060775756836]",0.6997060775756836
00041812.npy,0,1,"[-0.7714146375656128, -0.20363061130046844]","[0.3617483079433441, 0.6382516622543335]",0.6382516622543335
00022361.npy,0,1,"[-0.1618121862411499, -0.030789099633693695]","[0.4672910273075104, 0.532709002494812]",0.532709002494812
00013819.npy,1,1,"[-0.5673691034317017, -0.07193930447101593]","[0.37861528992652893, 0.6213847398757935]",0.6213847398757935
00068059.npy,1,1,"[-0.6853337287902832, -0.27551352977752686]","[0.39895522594451904, 0.601044774055481]",0.601044774055481
00063308.npy,1,1,"[-0.33536791801452637, -0.027599379420280457]","[0.4236595332622528, 0.5763404965400696]",0.5763404965400696
00032404.npy,1,1,"[-0.2663559913635254, 0.15364991128444672]","[0.3965153098106384, 0.6034846305847168]",0.6034846305847168
00026438.npy,1,1,"[-0.3295331597328186, 0.0035021156072616577]","[0.4175022840499878, 0.5824977159500122]",0.5824977159500122
00034704.npy,0,1,"[-0.5997593998908997, -0.2902917265892029]","[0.4232446849346161, 0.5767553448677063]",0.5767553448677063
00041724.npy,1,0,"[0.1131281703710556, 0.058263007551431656]","[0.5137128829956055, 0.4862871468067169]",0.4862871468067169
00033092.npy,1,1,"[0.011380448937416077, 0.15316477417945862]","[0.4646131992340088, 0.535386860370636]",0.535386860370636
00040645.npy,1,1,"[-0.27907687425613403, 0.024402130395174026]","[0.42470723390579224, 0.5752927660942078]",0.5752927660942078
00018906.npy,1,0,"[0.024069085717201233, -0.1309046894311905]","[0.5386660695075989, 0.4613339304924011]",0.4613339304924011
00021156.npy,0,1,"[-0.5217494368553162, -0.20935647189617157]","[0.42253077030181885, 0.5774692296981812]",0.5774692296981812
00055507.npy,1,1,"[-0.2935190796852112, -0.16037850081920624]","[0.4667639434337616, 0.5332360863685608]",0.5332360863685608
00036746.npy,1,1,"[-0.24176323413848877, 0.37257659435272217]","[0.351069837808609, 0.6489301323890686]",0.6489301323890686
00034546.npy,0,1,"[-0.10843751579523087, 0.2802915573120117]","[0.40402328968048096, 0.595976710319519]",0.595976710319519
00057854.npy,1,1,"[-0.021967396140098572, -0.010563284158706665]","[0.4971490204334259, 0.5028510093688965]",0.5028510093688965
00004528.npy,1,1,"[0.009479060769081116, 0.2340777963399887]","[0.44408518075942993, 0.5559148192405701]",0.5559148192405701
