crop_file,true_label,pred_label,logits,softmax,goodness
00004661.npy,1,1,"[-0.527674674987793, 0.5714537501335144]","[0.24990320205688477, 0.7500967383384705]",0.7500967383384705
00009803.npy,1,1,"[-0.7166016697883606, 1.0317460298538208]","[0.14825572073459625, 0.8517442941665649]",0.8517442941665649
00033399.npy,1,1,"[0.13431784510612488, 0.38414716720581055]","[0.4378655254840851, 0.5621345043182373]",0.5621345043182373
00034778.npy,1,1,"[0.2994781732559204, 0.3532078266143799]","[0.486570805311203, 0.5134291648864746]",0.5134291648864746
00020258.npy,0,0,"[0.29364094138145447, 0.2434414178133011]","[0.5125472545623779, 0.48745274543762207]",0.48745274543762207
00066262.npy,0,1,"[-0.8715423345565796, 0.7792038917541504]","[0.1610081046819687, 0.8389918208122253]",0.8389918208122253
00022910.npy,0,0,"[0.38998186588287354, 0.22630004584789276]","[0.5408293604850769, 0.4591706693172455]",0.4591706693172455
00007507.npy,1,1,"[-0.8396033048629761, 0.5901355147361755]","[0.19313940405845642, 0.806860625743866]",0.806860625743866
00004236.npy,1,1,"[-1.1028852462768555, 0.9478092193603516]","[0.11398222297430038, 0.8860177397727966]",0.8860177397727966
00057289.npy,1,0,"[0.21107058227062225, 0.20684240758419037]","[0.5010570287704468, 0.4989429712295532]",0.4989429712295532
00022151.npy,0,0,"[0.17007309198379517, 0.1674496978521347]","[0.5006558299064636, 0.4993441700935364]",0.4993441700935364
00037375.npy,0,1,"[0.1960982382297516, 0.33241212368011475]","[0.46597421169281006, 0.5340258479118347]",0.5340258479118347
00008877.npy,1,1,"[0.12023484706878662, 0.15030668675899506]","[0.49248260259628296, 0.507517397403717]",0.507517397403717
00021722.npy,0,0,"[0.16564543545246124, 0.07124507427215576]","[0.5235825777053833, 0.4764174222946167]",0.4764174222946167
00017772.npy,0,1,"[-0.002657756209373474, 0.3224034309387207]","[0.4194427728652954, 0.5805572271347046]",0.5805572271347046
00006443.npy,0,0,"[0.1896989494562149, 0.0518014132976532]","[0.5344198942184448, 0.46558016538619995]",0.46558016538619995
00018069.npy,1,0,"[0.5243987441062927, 0.2593929171562195]","[0.5658664703369141, 0.4341335892677307]",0.4341335892677307
00022477.npy,0,1,"[0.1297558844089508, 0.3579865097999573]","[0.44318872690200806, 0.5568112730979919]",0.5568112730979919
