crop_file,true_label,pred_label,logits,softmax,goodness
00052185.npy,1,1,"[-7.497944355010986, -6.17318868637085]","[0.21002815663814545, 0.7899718284606934]",0.7899718284606934
00022337.npy,0,0,"[-11.829771041870117, -13.039999961853027]","[0.7703394293785095, 0.2296605408191681]",0.2296605408191681
00037716.npy,1,1,"[-7.052176475524902, -6.019777297973633]","[0.2626192271709442, 0.7373807430267334]",0.7373807430267334
00023125.npy,0,0,"[-8.96124267578125, -9.7871675491333]","[0.6954925656318665, 0.30450743436813354]",0.30450743436813354
00001460.npy,1,1,"[-8.0238676071167, -6.750706195831299]","[0.218716561794281, 0.7812834978103638]",0.7812834978103638
00020118.npy,0,0,"[-7.757044792175293, -7.96528434753418]","[0.5518726110458374, 0.4481274485588074]",0.4481274485588074
00019007.npy,1,0,"[-7.847739219665527, -8.550796508789062]","[0.6688652038574219, 0.33113473653793335]",0.33113473653793335
00058831.npy,1,0,"[-4.548428058624268, -4.552281379699707]","[0.5009633302688599, 0.49903666973114014]",0.49903666973114014
00057771.npy,0,0,"[-7.717683792114258, -8.971330642700195]","[0.777930498123169, 0.22206948697566986]",0.22206948697566986
00041082.npy,1,1,"[-3.936802387237549, -3.6173460483551025]","[0.42080825567245483, 0.5791917443275452]",0.5791917443275452
00004802.npy,1,1,"[-6.0462470054626465, -4.500997543334961]","[0.17577345669269562, 0.8242265582084656]",0.8242265582084656
00006052.npy,1,1,"[-5.307244300842285, -4.484892845153809]","[0.30526474118232727, 0.6947352886199951]",0.6947352886199951
00017812.npy,0,1,"[-7.514053821563721, -6.440378189086914]","[0.25470471382141113, 0.7452952861785889]",0.7452952861785889
00056297.npy,0,1,"[-3.6784791946411133, -3.2265946865081787]","[0.3889128267765045, 0.6110872030258179]",0.6110872030258179
00008775.npy,1,0,"[-6.524805545806885, -6.583951473236084]","[0.514782190322876, 0.4852178394794464]",0.4852178394794464
00002451.npy,1,1,"[-2.957517385482788, -2.3656647205352783]","[0.3562098741531372, 0.6437901258468628]",0.6437901258468628
00057126.npy,0,1,"[-7.454677581787109, -5.917732238769531]","[0.17697976529598236, 0.8230202198028564]",0.8230202198028564
00005096.npy,1,1,"[-4.021379470825195, -3.0260651111602783]","[0.26986366510391235, 0.7301363348960876]",0.7301363348960876
00007519.npy,0,0,"[-10.704451560974121, -11.607903480529785]","[0.7116583585739136, 0.2883416414260864]",0.2883416414260864
00041170.npy,1,1,"[-5.880095958709717, -5.002976894378662]","[0.29377514123916626, 0.7062248587608337]",0.7062248587608337
00066635.npy,1,1,"[-9.102777481079102, -7.4543375968933105]","[0.16131991147994995, 0.83868008852005]",0.83868008852005
00062608.npy,1,1,"[-5.715785503387451, -4.274107933044434]","[0.19128569960594177, 0.8087142705917358]",0.8087142705917358
00066941.npy,1,1,"[-6.5995941162109375, -6.418239116668701]","[0.4547851085662842, 0.5452148914337158]",0.5452148914337158
00022031.npy,0,0,"[-8.21188735961914, -8.54969310760498]","[0.5836573839187622, 0.4163425862789154]",0.4163425862789154
00056563.npy,1,0,"[-3.405360698699951, -3.8218064308166504]","[0.6026324033737183, 0.39736756682395935]",0.39736756682395935
00003920.npy,1,1,"[-7.158280372619629, -5.386692523956299]","[0.14534497261047363, 0.8546549677848816]",0.8546549677848816
00039549.npy,1,1,"[-6.940938949584961, -6.30592679977417]","[0.3463749289512634, 0.6536250710487366]",0.6536250710487366
00060024.npy,0,1,"[-9.522303581237793, -8.983329772949219]","[0.3684263229370117, 0.6315736770629883]",0.6315736770629883
00021111.npy,0,1,"[-4.416196346282959, -4.377861499786377]","[0.49041748046875, 0.50958251953125]",0.50958251953125
